source_index,target_index,source_value,target_value,source_stream,target_stream,spatial_weight
74,76,76,78,mixed_even_composite,mixed_even_composite,0.4115855097770691
74,138,76,152,mixed_even_composite,mixed_even_composite,0.3944321870803833
75,79,77,81,lpf_odd_composite,lpf_odd_composite,0.2319183498620987
75,140,77,154,lpf_odd_composite,mixed_even_composite,0.26706451177597046
76,78,78,80,mixed_even_composite,mixed_even_composite,0.2941798269748688
76,142,78,156,mixed_even_composite,mixed_even_composite,0.3944322466850281
77,81,79,83,first_order_odd,first_order_odd,0.3680165708065033
77,143,79,158,first_order_odd,mixed_even_composite,0.19433143734931946
78,80,80,82,mixed_even_composite,mixed_even_composite,0.2997911870479584
78,145,80,160,mixed_even_composite,mixed_even_composite,0.3944321572780609
79,83,81,85,lpf_odd_composite,lpf_odd_composite,0.2953692078590393
79,147,81,162,lpf_odd_composite,mixed_even_composite,0.2790679931640625
80,82,82,84,mixed_even_composite,mixed_even_composite,0.4030655026435852
80,148,82,164,mixed_even_composite,mixed_even_composite,0.3944322466850281
81,87,83,89,first_order_odd,first_order_odd,0.15455682575702667
81,150,83,166,first_order_odd,mixed_even_composite,0.19419394433498383
82,84,84,86,mixed_even_composite,mixed_even_composite,0.4116933345794678
82,151,84,168,mixed_even_composite,mixed_even_composite,0.3944321870803833
83,85,85,87,lpf_odd_composite,lpf_odd_composite,0.3793250024318695
83,153,85,170,lpf_odd_composite,mixed_even_composite,0.2771531939506531
84,86,86,88,mixed_even_composite,mixed_even_composite,0.3461340367794037
84,155,86,172,mixed_even_composite,mixed_even_composite,0.3944322466850281
85,89,87,91,lpf_odd_composite,lpf_odd_composite,0.22469709813594818
85,156,87,174,lpf_odd_composite,mixed_even_composite,0.27906545996665955
86,88,88,90,mixed_even_composite,mixed_even_composite,0.35275042057037354
86,158,88,176,mixed_even_composite,mixed_even_composite,0.3944322466850281
87,160,89,178,first_order_odd,mixed_even_composite,0.20076942443847656
88,90,90,92,mixed_even_composite,mixed_even_composite,0.40386316180229187
89,91,91,93,lpf_odd_composite,lpf_odd_composite,0.2864130437374115
90,92,92,94,mixed_even_composite,mixed_even_composite,0.41177311539649963
91,93,93,95,lpf_odd_composite,lpf_odd_composite,0.37260618805885315
92,94,94,96,mixed_even_composite,mixed_even_composite,0.2532564401626587
93,96,95,99,lpf_odd_composite,lpf_odd_composite,0.30726924538612366
94,95,96,98,mixed_even_composite,mixed_even_composite,0.25684478878974915
95,97,98,100,mixed_even_composite,mixed_even_composite,0.4045321047306061
96,100,99,105,lpf_odd_composite,lpf_odd_composite,0.3211621046066284
97,98,100,102,mixed_even_composite,mixed_even_composite,0.41183653473854065
98,99,102,104,mixed_even_composite,mixed_even_composite,0.34807971119880676
99,101,104,106,mixed_even_composite,mixed_even_composite,0.3537338972091675
100,104,105,111,lpf_odd_composite,lpf_odd_composite,0.3221370279788971
101,102,106,108,mixed_even_composite,mixed_even_composite,0.4051014184951782
102,103,108,110,mixed_even_composite,mixed_even_composite,0.4118850529193878
103,105,110,112,mixed_even_composite,mixed_even_composite,0.2998369336128235
104,107,111,115,lpf_odd_composite,lpf_odd_composite,0.29801222681999207
105,106,112,114,mixed_even_composite,mixed_even_composite,0.30398449301719666
106,108,114,116,mixed_even_composite,mixed_even_composite,0.40559402108192444
107,109,115,117,lpf_odd_composite,lpf_odd_composite,0.37944644689559937
108,110,116,118,mixed_even_composite,mixed_even_composite,0.4119251072406769
109,111,117,119,lpf_odd_composite,lpf_odd_composite,0.2834184467792511
110,112,118,120,mixed_even_composite,mixed_even_composite,0.34952977299690247
111,113,119,121,lpf_odd_composite,lpf_odd_composite,0.362333208322525
112,114,120,122,mixed_even_composite,mixed_even_composite,0.3544655442237854
113,115,121,123,lpf_odd_composite,lpf_odd_composite,0.23457524180412292
114,116,122,124,mixed_even_composite,mixed_even_composite,0.40602055191993713
115,117,123,125,lpf_odd_composite,lpf_odd_composite,0.37426429986953735
116,118,124,126,mixed_even_composite,mixed_even_composite,0.411958247423172
117,120,125,129,lpf_odd_composite,lpf_odd_composite,0.30694982409477234
118,121,126,130,mixed_even_composite,mixed_even_composite,0.37203317880630493
120,123,129,133,lpf_odd_composite,lpf_odd_composite,0.2270151674747467
121,122,130,132,mixed_even_composite,mixed_even_composite,0.4063970446586609
122,124,132,134,mixed_even_composite,mixed_even_composite,0.4119839072227478
123,125,133,135,lpf_odd_composite,lpf_odd_composite,0.2871217131614685
124,126,134,136,mixed_even_composite,mixed_even_composite,0.3506509065628052
125,129,135,141,lpf_odd_composite,lpf_odd_composite,0.3257797956466675
126,127,136,138,mixed_even_composite,mixed_even_composite,0.35503047704696655
127,128,138,140,mixed_even_composite,mixed_even_composite,0.4067295789718628
128,130,140,142,mixed_even_composite,mixed_even_composite,0.4120063781738281
129,131,141,143,lpf_odd_composite,lpf_odd_composite,0.23305058479309082
130,132,142,144,mixed_even_composite,mixed_even_composite,0.30317914485931396
131,133,143,145,lpf_odd_composite,lpf_odd_composite,0.2796125113964081
132,134,144,146,mixed_even_composite,mixed_even_composite,0.30646923184394836
133,135,145,147,lpf_odd_composite,lpf_odd_composite,0.37950068712234497
134,136,146,148,mixed_even_composite,mixed_even_composite,0.4070250689983368
135,139,147,153,lpf_odd_composite,lpf_odd_composite,0.32684311270713806
136,137,148,150,mixed_even_composite,mixed_even_composite,0.41202405095100403
137,138,150,152,mixed_even_composite,mixed_even_composite,0.3515443503856659
138,140,152,154,mixed_even_composite,mixed_even_composite,0.35548028349876404
139,141,153,155,lpf_odd_composite,lpf_odd_composite,0.37528568506240845
140,142,154,156,mixed_even_composite,mixed_even_composite,0.40729254484176636
141,144,155,159,lpf_odd_composite,lpf_odd_composite,0.306705504655838
142,143,156,158,mixed_even_composite,mixed_even_composite,0.4120411276817322
143,145,158,160,mixed_even_composite,mixed_even_composite,0.2627374529838562
144,146,159,161,lpf_odd_composite,lpf_odd_composite,0.28476014733314514
145,147,160,162,mixed_even_composite,mixed_even_composite,0.26504912972450256
146,149,161,165,lpf_odd_composite,lpf_odd_composite,0.23213517665863037
147,148,162,164,mixed_even_composite,mixed_even_composite,0.40753212571144104
148,150,164,166,mixed_even_composite,mixed_even_composite,0.41205453872680664
149,152,165,169,lpf_odd_composite,lpf_odd_composite,0.14882341027259827
150,151,166,168,mixed_even_composite,mixed_even_composite,0.35227304697036743
151,153,168,170,mixed_even_composite,mixed_even_composite,0.3558465242385864
152,154,169,171,lpf_odd_composite,lpf_odd_composite,0.1865721493959427
153,155,170,172,mixed_even_composite,mixed_even_composite,0.4077485203742981
154,157,171,175,lpf_odd_composite,lpf_odd_composite,0.3005463778972626
155,156,172,174,mixed_even_composite,mixed_even_composite,0.41206738352775574
156,158,174,176,mixed_even_composite,mixed_even_composite,0.3053867816925049
157,159,175,177,lpf_odd_composite,lpf_odd_composite,0.3795293867588043
158,160,176,178,mixed_even_composite,mixed_even_composite,0.3081130087375641
